#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
명제·집합·원소의 관계를 설명하고, "모든 집합의 모임"이 집합이 될 수 없는 이유를 진술하시오.	집합은 명제(참·거짓을 가르는 기준) 위에서 정의되며, 그 명제로 "들어간다/안 들어간다"를 판정해 원소를 모은 것이다.<br>기준을 너무 크게 잡으면 참·거짓을 다 담을 수 없을 만큼 모이게 되어 모순이 생긴다. 그래서 "모든 집합의 모임"은 집합이 될 수 없다(러셀의 역설과 같은 맥락). 이 때문에 수학은 \( \in \)을 무제한 허용하지 않고 공리를 택해 그 아래에서만 참·거짓을 논한다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 집합
무한집합의 크기를 비교하는 기준은 무엇인가? \( \mathbb{N},\mathbb{Z},\mathbb{Q},\mathbb{R} \)의 크기 관계를 답하시오.	크기 비교의 기준은 두 집합 사이 일대일 대응(전단사 함수)의 존재 여부다.<br>\( |\mathbb{N}|=|\mathbb{Z}|=|\mathbb{Q}| \)(모두 가산무한)이고 \( |\mathbb{R}|>|\mathbb{N}| \). 구체적으로 \( |\mathbb{R}|=2^{|\mathbb{N}|} \). 그 사이 크기의 무한이 있는지는 결정 불가능(연속체 가설, 공리의 영역).	MfPaNSS 04-season-10 01-Sets ko-kr 암기 집합
칸토어의 대각화 대신, 실수의 개수가 \( 2^{|\mathbb{N}|} \)임을 이진법으로 설명하시오.	실수를 이진법으로 표현하면 각 자릿수에 들어갈 숫자는 \( 0,1 \) 두 가지뿐이고, 자릿수의 개수는 자연수 개수만큼이다.<br>따라서 전체 실수의 개수는 \( 2^{(\text{자연수 개수})}=2^{|\mathbb{N}|} \). 유한집합에서 원소가 \( n \)개이면 부분집합이 \( 2^n \)개인 이치가 무한집합에서도 그대로 적용된다(멱집합의 크기가 항상 더 큼). 각 자리의 선택에 임의성이 없어 선택 공리도 필요 없다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 집합
군(group)의 정의를 진술하시오. 어떤 조건을 요구하고 어떤 조건을 요구하지 않는가?	집합 \( G \)와 그 위의 한 연산이 다음을 만족하면 군이라 한다.<br>(1) 연산에 닫혀 있음 (2) 결합법칙 \( (ab)c=a(bc) \) (3) 항등원 \( e \)의 존재 (4) 각 원소의 역원의 존재.<br>교환법칙(\( ab=ba \))은 요구하지 않는다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 정의
군의 정의에서 결합법칙은 요구하면서 교환법칙은 빼는 이유를 설명하시오.	함수의 합성·행렬 곱처럼 교환이 성립하지 않는 연산까지 군으로 다루기 위해서다.<br>군을 정의하는 동기 자체가 숫자의 사칙연산뿐 아니라 함수의 합성을 같은 연산으로 다루려는 것인데, 함수의 합성은 일반적으로 \( f\circ g\neq g\circ f \)이다. 교환법칙을 정의에 넣으면 이런 핵심 예시(합성·행렬 곱)가 군에서 빠져 버린다. 그래서 교환은 정의에서 제외한다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 정의
군의 대표적인 예시 세 가지를 들고, 각각의 연산을 말하시오.	(1) 숫자들의 모임 — 예: \( \mathbb{Q}\setminus\{0\} \)와 곱셈(또는 \( \mathbb{Z} \)와 덧셈).<br>(2) 일대일 대응 함수들의 모임 — 함수의 합성.<br>(3) 역행렬이 존재하는 \( 2\times2 \)행렬들의 모임 — 행렬 곱.<br>(2)와 (3)은 선형 함수의 합성이 곧 행렬 곱이므로 본질적으로 같은 예시다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 군
함수의 정의를 집합론적으로 진술하시오.	두 집합 \( X,Y \)에 대해, 곱집합 \( X\times Y \)의 부분집합 \( f \)가 다음 두 조건을 만족할 때 \( X \)에서 \( Y \)로의 함수라 한다.<br>(존재) 각 \( x\in X \)에 대해 \( (x,y)\in f \)인 \( y\in Y \)가 적어도 하나 존재한다.<br>(유일) \( (x,y_1)\in f,\ (x,y_2)\in f \)이면 \( y_1=y_2 \).<br>순서쌍의 첫 원소를 입력, 둘째 원소를 함숫값이라 부른다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 정의
"수학은 둘 중 하나, 그리고 그것을 보는 방식도 둘 중 하나"라는 분류를 진술하시오.	수학은 논리이거나 계산이다. 그리고 그 논리·계산으로 대상을 들여다보는 방식은 구체화이거나 추상화이다.<br>어떤 분야를 다루든 "지금 보는 것이 논리인가 계산인가", "구체인가 추상인가"를 구분하는 것이 출발점이며, 같은 페이지에 서는 기준은 직관이 아니라 정의(definition)다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 방법
지수함수 \( y=a^x \)가 "연산을 보존하는 함수"로서 어떻게 정의되는지 설명하고, \( a^0=1 \)이 왜 따라오는지 진술하시오.	정수의 덧셈 \( (\mathbb{Z},+) \)에서 \( 0 \)을 뺀 유리수의 곱셈 \( (\mathbb{Q}\setminus\{0\},\times) \)으로 가는, 연산을 보존하는 함수, 즉 \( f(x+y)=f(x)\cdot f(y) \)를 만족하는 함수가 지수함수 \( f(x)=a^x \) 꼴로 나온다.<br>이때 \( f(0) \)은 \( f(0)=f(0)f(0) \)에서 \( 0 \) 또는 \( 1 \)이 후보인데, 공역에서 \( 0 \)을 제외했으므로 \( f(0)=a^0=1 \)이어야 한다. 즉 \( a^0=1 \)은 약속이 아니라 논리적으로 도출된 성질이다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 정의
선형 연산에 덧셈과 스칼라곱만 두고 뺄셈·나눗셈은 따로 두지 않는 이유를 설명하시오.	뺄셈은 덧셈의 역원으로 회복되고( \( a-b:=a+(-b) \) ), 나눗셈은 \( 0 \)으로 나눌 수 없는 문제가 있어 기본 연산으로 두지 않는다.<br>구조를 세울 때는 최소한의 연산(덧셈·스칼라곱)만 정의로 남기고, 나머지는 그로부터 유도한다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 정의
\( \mathbb{R}^2\to\mathbb{R}^2 \)의 선형 함수와 \( 2\times2 \)행렬의 관계, 그리고 선형 함수의 합성과 행렬 곱의 관계를 진술하시오.	\( \mathbb{R}^2\to\mathbb{R}^2 \)의 선형 함수는 \( f(x,y)=(ax+by,\ cx+dy) \) 꼴로, \( 2\times2 \)행렬 \( \begin{pmatrix}a&b\\c&d\end{pmatrix} \)와 같은 대상이다(원점을 보존: \( f(0)=0 \)).<br>두 선형 함수의 합성은 대응하는 두 행렬의 곱과 정확히 일치한다: \( A(Bv)=(AB)v \). 행렬 곱을 그렇게 정의한 이유가 곧 "합성을 표현하기 위해서"다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 행렬
회전행렬 \( R(t) \)를 쓰고, 이 행렬들의 모임이 \( \{e^{it}\} \)와 군으로서 같은 이유를 설명하시오.	\( R(t)=\begin{pmatrix}\cos t&-\sin t\\ \sin t&\cos t\end{pmatrix} \). 행렬 곱을 연산으로 하면 군을 이루며 \( R(s)R(t)=R(s+t) \)가 성립한다.<br>이는 단위원에서 \( t \)라디안만큼 도는 것이므로 \( e^{is}\cdot e^{it}=e^{i(s+t)} \)와 같은 덧셈 구조를 가진다. 즉 \( R(t)\leftrightarrow e^{it} \)로 두 군이 같다(군 동형).	MfPaNSS 04-season-10 01-Sets ko-kr 암기 행렬
미분(야코비안)이 비선형 함수를 다룰 때도 왜 행렬(선형)으로 표현되는지 설명하시오.	미분은 한 점에서의 선형 근사이기 때문이다. 곡선의 접벡터(접선)는 직선이며, 함수가 비선형이라도 한 점 근방에서는 선형으로 근사할 수 있다.<br>그 점에서의 선형 근사(편미분들의 모임)를 담은 것이 야코비안 행렬이다. 따라서 "행렬=선형"이라는 사실과, 비선형 함수를 야코비안으로 다루는 것은 모순되지 않는다.	MfPaNSS 04-season-10 01-Sets ko-kr 암기 행렬
