#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
완전제곱(completing the square)으로 다음 2차 방정식의 근의 공식을 유도하시오. (\( a\neq 0 \))<br>\[ ax^2+bx+c=0 \]	\( x=\dfrac{-b\pm\sqrt{b^2-4ac}}{2a} \)<br>\( a \)로 묶어 \( a\left(x^2+\frac{b}{a}x\right)+c=0 \), 완전제곱으로 \( a\left(x+\frac{b}{2a}\right)^2+c-\frac{b^2}{4a}=0 \), 정리하면 \( \left(x+\frac{b}{2a}\right)^2=\frac{b^2-4ac}{4a^2} \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 근의공식
두 \( 2\times2 \) 행렬 \( A,B \)에 대해 \( \det(AB) \)와 \( \det A\cdot\det B \)의 관계를 손으로 확인하시오.	\( \det(AB)=\det A\cdot\det B \)<br>\( A=\begin{pmatrix}a&b\\c&d\end{pmatrix} \)이면 \( \det A=ad-bc \). 두 행렬을 곱한 뒤 행렬식을 취한 것과 각각의 행렬식을 곱한 것이 항등적으로 같다(군구조의 관찰).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 행렬식
\( 2^7 \) 은?	\( 128 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^{10} \) 은?	\( 1024 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^5 \) 은?	\( 32 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^6 \) 은?	\( 64 \)<br>\( 2^4=16 \)에서 \( 2 \)를 두 번 더 곱해 \( 64 \).	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^2 \) 은?	\( 4 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^9 \) 은?	\( 512 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^{-1} \) 은?	\( \dfrac{1}{2} \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
\( 2^{-3} \) 은?	\( \dfrac{1}{8} \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 거듭제곱
곱셈공식으로 암산하시오.<br>\( 13^2 \)	\( 169 \)<br>\( (10+3)^2=100+2\cdot10\cdot3+9=169 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식으로 암산하시오.<br>\( 11^2 \)	\( 121 \)<br>\( (10+1)^2=100+2\cdot10\cdot1+1=121 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식으로 암산하시오.<br>\( 12^2 \)	\( 144 \)<br>\( (10+2)^2=100+2\cdot10\cdot2+4=144 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식으로 암산하시오.<br>\( 99^2 \)	\( 9801 \)<br>\( (100-1)^2=10000-200+1=9801 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식으로 암산하시오.<br>\( 98^2 \)	\( 9604 \)<br>\( (100-2)^2=10000-400+4=9604 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식으로 암산하시오.<br>\( 97^2 \)	\( 9409 \)<br>\( (100-3)^2=10000-600+9=9409 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식 \( (a+b)(a-b)=a^2-b^2 \)으로 암산하시오.<br>\( 11\times9 \)	\( 99 \)<br>\( (10+1)(10-1)=100-1=99 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
곱셈공식 \( (a+b)(a-b)=a^2-b^2 \)으로 암산하시오.<br>\( 102\times98 \)	\( 9996 \)<br>\( (100+2)(100-2)=10000-4=9996 \)	MfPaNSS 04-season-12 05-Linalg-1-linear-matrix ko-kr 계산 곱셈공식
