#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
다음 2차 방정식의 해를 구하시오.<br>\( 2x^2 + 4x + 1 = 0 \)	\( x = \dfrac{-4 \pm \sqrt{8}}{4} = \dfrac{-2 \pm \sqrt{2}}{2} \)<br>근의 공식: \( x=\dfrac{-b\pm\sqrt{b^2-4ac}}{2a} \), \( b^2-4ac = 16-8 = 8 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 근의공식
다음을 완전제곱으로 바꾸시오 (식, =0 붙이지 말 것).<br>\( 2x^2 + 4x + 1 \)	\( 2(x+1)^2 - 1 \)<br>\( 2(x^2+2x+1) - 2 + 1 = 2(x+1)^2 - 1 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음을 완전제곱으로 바꾸시오 (식).<br>\( 3x^2 + 6x + 1 \)	\( 3(x+1)^2 - 2 \)<br>\( 3(x^2+2x) + 1 = 3(x+1)^2 - 3 + 1 = 3(x+1)^2 - 2 \).<br>※ 영상에서는 \( -8 \)로 말했으나 계산상 \( -2 \)가 맞습니다(확인 필요).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음을 완전제곱으로 바꾸시오 (식).<br>\( 4x^2 + 8x + 1 \)	\( 4(x+1)^2 - 3 \)<br>\( 4(x^2+2x+1) - 4 + 1 = 4(x+1)^2 - 3 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음 2차 방정식의 해를 분모가 4가 아니게(즉 \(2a\)를 그대로 쓰지 말고) 구하시오.<br>\( 2x^2 + 4x + 1 = 0 \)	양변을 2로 나누면 \( x^2 + 2x + \tfrac12 = 0 \).<br>\( x = \dfrac{-2 \pm \sqrt{4-2}}{2} = \dfrac{-2 \pm \sqrt{2}}{2} = -1 \pm \dfrac{\sqrt 2}{2} \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 근의공식
다음 2차 방정식의 해를 구하시오.<br>\( x^2 + 2x + 1 = 0 \)	\( x = -1 \) (중근)<br>\( (x+1)^2 = 0 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음 2차 방정식의 해를 구하시오.<br>\( 2x^2 + 4x + 2 = 0 \)	\( x = -1 \) (중근)<br>\( 2(x+1)^2 = 0 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음 2차 방정식의 해를 구하시오.<br>\( 3x^2 + 6x + 3 = 0 \)	\( x = -1 \) (중근)<br>\( 3(x+1)^2 = 0 \).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음을 완전제곱으로 바꾸시오 (식, =0 아님).<br>\( 2x^2 + 4x + 2 \)	\( 2(x+1)^2 \)<br>식이므로 \(=0\)을 붙이지 않는다 (방정식 아님).	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
다음을 완전제곱으로 바꾸시오 (식).<br>\( 3x^2 + 6x + 2 \)	\( 3(x+1)^2 - 1 \)<br>\( 3(x^2+2x+1) - 3 + 2 = 3(x+1)^2 - 1 \). 식이므로 \(=0\) 없이 \(-1\)에서 끝.	MfPaNSS 04-season-17 06-Linalg-2-inverse-determinant ko-kr 계산 완전제곱
