#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
다음 함수를 미분하시오.<br>\( (2x+1)\,e^{x^2} \)	\( 2\,e^{x^2} + (2x+1)\,e^{x^2}\cdot 2x \)<br>곱의 미분 + 연쇄법칙: \( (2x+1)'e^{x^2} + (2x+1)(e^{x^2})' \), \( (e^{x^2})'=2x\,e^{x^2} \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
다음 함수를 미분하시오.<br>\( x\cos x \)	\( \cos x - x\sin x \)<br>곱의 미분: \( (x)'\cos x + x(\cos x)' = \cos x - x\sin x \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
다음 함수를 미분하시오.<br>\( (x^2+1)\sin x \)	\( 2x\sin x + (x^2+1)\cos x \)<br>곱의 미분: \( (x^2+1)'\sin x + (x^2+1)(\sin x)' \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
다음 함수를 미분하시오.<br>\( \cos x \)	\( -\sin x \)	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 미분
다음 함수를 미분하시오 (정의역도 밝히시오).<br>\( x\ln x \)	\( \ln x + 1 \) \( (x>0) \)<br>곱의 미분: \( (x)'\ln x + x\cdot\dfrac1x = \ln x + 1 \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
다음 함수를 미분하시오 (정의역도 밝히시오).<br>\( \sin(\ln x) \)	\( \cos(\ln x)\cdot\dfrac1x \) \( (x>0) \)<br>연쇄법칙: 바깥 \( \sin \)의 도함수 \( \cos(\ln x) \)에 안쪽 \( (\ln x)'=\dfrac1x \)를 곱한다.	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 연쇄법칙
다음 함수를 미분하시오.<br>\( x^2(x^2+1) \)	\( 4x^3 + 2x \)<br>전개하면 \( x^4+x^2 \), 미분하면 \( 4x^3+2x \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 미분
다음 함수를 미분하시오.<br>\( x^2\cos x \)	\( 2x\cos x - x^2\sin x \)<br>곱의 미분: \( (x^2)'\cos x + x^2(\cos x)' \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
다음 함수를 미분하시오 (정의역도 밝히시오).<br>\( \ln|x| \)	\( \dfrac1x \) \( (x\neq 0) \)	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 미분
다음 함수를 미분하시오.<br>\( x^3\sin x \)	\( 3x^2\sin x + x^3\cos x \)<br>곱의 미분: \( (x^3)'\sin x + x^3(\sin x)' \).	MfPaNSS 04-season-23 09-Derivative ko-kr 계산 곱의미분
