#separator:tab
#html:true
#notetype:Basic
#columns:Front	Back	Tags
다음을 미분하시오.<br>\( \tan x \)	\( \sec^2 x \)<br>\( (\tan x)' = \sec^2 x \) (\(= \tan^2 x + 1\)).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 미분하시오.<br>\( x^{-4} \)	\( -4x^{-5} \)<br>거듭제곱 법칙 \( (x^n)' = nx^{n-1} \): \( -4x^{-5} \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 미분하시오.<br>\( \sqrt{x} \)	\( \dfrac{1}{2}x^{-1/2} = \dfrac{1}{2\sqrt{x}} \) (\(x>0\))<br>\( \sqrt{x}=x^{1/2} \) 로 두고 \( \tfrac12 x^{-1/2} \). \( x^{-1} \)로 잘못 보면 안 됩니다.	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 제곱근
다음을 미분하시오.<br>\( x^{-2} \quad\Big(=\dfrac{1}{x^2}\Big) \)	\( -2x^{-3} = -\dfrac{2}{x^3} \)<br>거듭제곱 법칙: \( -2x^{-3} \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 미분하시오.<br>\( \sin x \)	\( \cos x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 삼각함수
다음을 미분하시오 (정의역 주의).<br>\( \ln|x| \)	\( \dfrac{1}{x} \quad (x\neq 0) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 로그함수
다음을 미분하시오 (밑이 \(2\)인 지수).<br>\( 2^{3x} \)	\( 3\cdot 2^{3x}\ln 2 \)<br>\( (a^{u})' = a^{u}\ln a\cdot u' \): 밑 \(2\)라 \(\ln 2\), 안쪽 \(3x\)의 미분 \(3\). (참고: \(2^{3x}=8^x\).)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 지수함수
다음을 미분하시오.<br>\( 7 \)	\( 0 \)<br>상수의 미분은 \(0\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음 다항함수를 미분하시오.<br>\( x^3 - 4x + 1 \)	\( 3x^2 - 4 \)<br>항별 거듭제곱 법칙: \( 3x^2 - 4 + 0 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 미분하시오.<br>\( \sin x + \cos x \)	\( \cos x - \sin x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 삼각함수
다음을 미분하시오.<br>\( \cos x + \sin x + 1 \)	\( -\sin x + \cos x \)<br>상수 \(1\)의 미분은 \(0\).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 삼각함수
다음을 미분하시오 (정의역 주의).<br>\( x^2 + 7 \)	\( 2x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 곱의 미분법으로 미분하시오.<br>\( x\cdot 2^{x} \)	\( 2^{x} + x\cdot 2^{x}\ln 2 \)<br>\( (uv)'=u'v+uv' \): \( 1\cdot 2^x + x\cdot 2^x\ln 2 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오.<br>\( x\sin x \)	\( \sin x + x\cos x \)<br>\( (uv)' \): \( 1\cdot\sin x + x\cdot\cos x \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (전개하지 말 것).<br>\( (x^2+1)(x^3-2) \)	\( 2x(x^3-2) + (x^2+1)\,3x^2 \)<br>\( (uv)'=u'v+uv' \). (전개하면 \(5x^4+3x^2-4x\).)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 미분하시오 (거듭제곱 확인).<br>\( x^4 \)	\( 4x^3 \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 다항함수
다음을 곱의 미분법으로 미분하시오.<br>\( (x^2+1)\sin x \)	\( 2x\sin x + (x^2+1)\cos x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (\( x^{-1}\sin x \)로 보고).<br>\( \dfrac{\sin x}{x} \)	\( -x^{-2}\sin x + x^{-1}\cos x = \dfrac{x\cos x - \sin x}{x^2} \)<br>\( (x^{-1})'\sin x + x^{-1}(\sin x)' \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( \sqrt{x}\,e^{x} \)	\( \dfrac{1}{2}x^{-1/2}e^{x} + \sqrt{x}\,e^{x} \quad (x>0) \)<br>앞 항 계수는 \(\tfrac12\) (\(1\)이 아님): \( (\sqrt x)'e^x + \sqrt x\,(e^x)' \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( x^2\ln|x| \)	\( 2x\ln|x| + x \quad (x\neq 0) \)<br>\( 2x\ln|x| + x^2\cdot\dfrac{1}{x} = 2x\ln|x| + x \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오.<br>\( x\cos x \)	\( \cos x - x\sin x \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( \ln x \cdot 2^{x} \)	\( \dfrac{1}{x}\,2^{x} + \ln x\cdot 2^{x}\ln 2 \quad (x>0) \)	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( x^3\ln x \)	\( 3x^2\ln x + x^2 \quad (x>0) \)<br>\( 3x^2\ln x + x^3\cdot\dfrac{1}{x} = 3x^2\ln x + x^2 \). 첫 항은 \(3x^2\) (\(2x^2\) 아님).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
다음을 곱의 미분법으로 미분하시오 (정의역 주의).<br>\( x\ln x \)	\( 1 + \ln x \quad (x>0) \)<br>\( 1\cdot\ln x + x\cdot\dfrac{1}{x} = \ln x + 1 \).	MfPaNSS 04-season-22 09-Derivative ko-kr 계산 미분 곱의미분
